user_id,email,age,gender,country,city,subscription_plan,monthly_price,signup_date,is_active,last_payment_date,primary_device,num_profiles,payment_method,lifetime_value,referral_source,language_preference
USR00000001,user1@example.com,33,Female,Brazil,Brazil_City_2,Standard,13.99,2024-03-31,True,2025-06-29,Gaming Console,1,Credit Card,209.85,Organic,Spanish
USR00000002,user2@example.com,32,Male,France,France_City_1,Basic,8.99,2024-05-20,True,2025-06-10,Smart TV,3,PayPal,116.87,Organic,Spanish
USR00000003,user3@example.com,33,Female,UK,UK_City_15,Premium,17.99,2024-12-04,True,2025-06-29,Mobile,3,Credit Card,125.93,TV Ad,English
USR00000004,user4@example.com,43,Male,Australia,Australia_City_8,Premium,17.99,2020-11-06,True,2025-06-04,Tablet,1,PayPal,1007.44,TV Ad,Portuguese
USR00000005,user5@example.com,42,Female,UK,UK_City_6,Premium,17.99,2020-10-27,True,2025-06-21,Tablet,1,Credit Card,1007.44,Organic,Spanish
USR00000006,user6@example.com,26,Male,Brazil,Brazil_City_2,Standard,13.99,2021-11-29,True,2025-06-25,Web Browser,1,PayPal,601.57,Social Media,English
USR00000007,user7@example.com,48,Male,India,India_City_8,Premium,17.99,2024-04-22,True,2025-06-20,Tablet,2,PayPal,251.86,Social Media,German
USR00000008,user8@example.com,26,Male,India,India_City_2,Standard,13.99,2022-03-24,True,2025-06-25,Smart TV,2,Bank Transfer,545.61,Organic,English
USR00000009,user9@example.com,28,Female,Canada,Canada_City_4,Standard,13.99,2022-02-27,True,2025-06-16,Tablet,1,PayPal,559.6,Social Media,English
USR00000010,user10@example.com,20,Male,Germany,Germany_City_17,Standard,13.99,2024-11-15,True,2025-06-27,Streaming Device,3,PayPal,97.93,Social Media,English
USR00000011,user11@example.com,18,Female,USA,USA_City_20,Standard,13.99,2024-05-20,True,2025-06-08,Streaming Device,3,Credit Card,181.87,Organic,Japanese
USR00000012,user12@example.com,18,Male,USA,USA_City_16,Premium,17.99,2020-11-01,True,2025-06-25,Gaming Console,1,PayPal,1007.44,TV Ad,Spanish
USR00000013,user13@example.com,47,Female,Spain,Spain_City_7,Premium Plus,22.99,2024-07-28,True,2025-06-05,Streaming Device,5,PayPal,252.89,Social Media,French
USR00000014,user14@example.com,47,Female,USA,USA_City_19,Standard,13.99,2022-08-07,True,2025-06-25,Mobile,3,Credit Card,489.65,Organic,French
USR00000015,user15@example.com,38,Female,Brazil,Brazil_City_19,Premium Plus,22.99,2025-02-06,True,2025-06-24,Smart TV,2,Credit Card,91.96,Organic,Spanish
USR00000016,user16@example.com,60,Male,Germany,Germany_City_4,Standard,13.99,2024-12-20,False,,Mobile,2,Credit Card,335.76,Email,Portuguese
USR00000017,user17@example.com,41,Male,Germany,Germany_City_18,Premium,17.99,2024-09-17,True,2025-06-24,Gaming Console,1,Credit Card,161.91,Email,Spanish
USR00000018,user18@example.com,39,Male,USA,USA_City_13,Basic,8.99,2024-12-22,True,2025-06-05,Mobile,2,Bank Transfer,53.94,Organic,English
USR00000019,user19@example.com,18,Male,Brazil,Brazil_City_10,Premium,17.99,2023-11-25,True,2025-06-02,Web Browser,4,Credit Card,341.81,Organic,German
USR00000020,user20@example.com,52,Male,Spain,Spain_City_17,Basic,8.99,2023-09-28,False,,Mobile,3,Credit Card,53.94,Organic,Spanish
USR00000021,user21@example.com,31,Female,Spain,Spain_City_19,Basic,8.99,2020-07-04,True,2025-06-14,Tablet,2,Credit Card,539.4,TV Ad,English
USR00000022,user22@example.com,27,Female,Brazil,Brazil_City_3,Premium,17.99,2024-02-29,True,2025-06-28,Smart TV,3,Credit Card,287.84,Email,Spanish
USR00000023,user23@example.com,47,Male,USA,USA_City_18,Premium,17.99,2024-10-03,True,2025-06-04,Smart TV,3,PayPal,161.91,Email,Japanese
USR00000024,user24@example.com,43,Male,Canada,Canada_City_4,Premium,17.99,2025-06-15,True,2025-06-15,Tablet,2,PayPal,0.0,Organic,English
USR00000025,user25@example.com,37,Male,Canada,Canada_City_14,Premium,17.99,2020-09-19,True,2025-06-17,Gaming Console,1,PayPal,1043.42,Organic,English
USR00000026,user26@example.com,45,Male,France,France_City_5,Basic,8.99,2024-01-12,True,2025-06-18,Mobile,1,Credit Card,152.83,Partner,Spanish
USR00000027,user27@example.com,38,Female,India,India_City_12,Standard,13.99,2021-01-13,True,2025-07-01,Smart TV,1,PayPal,755.46,Partner,Spanish
USR00000028,user28@example.com,40,Female,Australia,Australia_City_1,Premium,17.99,2024-08-19,True,2025-06-25,Streaming Device,2,Credit Card,179.9,TV Ad,German
USR00000029,user29@example.com,19,Female,Brazil,Brazil_City_8,Standard,13.99,2024-02-09,True,2025-06-07,Mobile,1,Credit Card,223.84,TV Ad,English
USR00000030,user30@example.com,44,Female,Brazil,Brazil_City_9,Premium Plus,22.99,2020-08-12,True,2025-07-02,Mobile,3,Credit Card,1356.41,Social Media,French
USR00000031,user31@example.com,40,Male,Spain,Spain_City_14,Basic,8.99,2020-07-31,True,2025-06-27,Streaming Device,1,Credit Card,530.41,Partner,Spanish
USR00000032,user32@example.com,26,Male,USA,USA_City_18,Premium Plus,22.99,2024-11-07,True,2025-06-14,Smart TV,4,PayPal,160.93,TV Ad,German
USR00000033,user33@example.com,39,Female,Japan,Japan_City_14,Premium Plus,22.99,2023-08-25,True,2025-06-11,Web Browser,3,Credit Card,505.78,Email,Spanish
USR00000034,user34@example.com,47,Male,Mexico,Mexico_City_18,Standard,13.99,2021-10-09,True,2025-06-11,Smart TV,3,PayPal,629.55,Social Media,English
USR00000035,user35@example.com,38,Male,France,France_City_3,Standard,13.99,2023-01-09,True,2025-06-26,Web Browser,3,Credit Card,419.7,Email,French
USR00000036,user36@example.com,19,Male,USA,USA_City_16,Basic,8.99,2021-04-15,True,2025-06-23,Smart TV,1,PayPal,458.49,Partner,Spanish
USR00000037,user37@example.com,46,Female,USA,USA_City_8,Premium,17.99,2023-05-07,True,2025-06-25,Tablet,1,Credit Card,467.74,TV Ad,Spanish
USR00000038,user38@example.com,24,Female,Germany,Germany_City_18,Basic,8.99,2024-02-07,True,2025-06-29,Web Browser,3,Credit Card,152.83,TV Ad,Portuguese
USR00000039,user39@example.com,20,Male,India,India_City_8,Standard,13.99,2020-11-03,True,2025-06-18,Web Browser,2,PayPal,783.44,Organic,German
USR00000040,user40@example.com,22,Male,Brazil,Brazil_City_18,Standard,13.99,2024-02-28,True,2025-06-30,Smart TV,2,Credit Card,223.84,Organic,English
USR00000041,user41@example.com,39,Female,USA,USA_City_19,Premium,17.99,2023-08-24,True,2025-06-19,Web Browser,4,Bank Transfer,395.78,Organic,Portuguese
USR00000042,user42@example.com,41,Female,UK,UK_City_18,Premium,17.99,2022-10-29,False,,Web Browser,4,PayPal,323.82,Partner,Spanish
USR00000043,user43@example.com,33,Prefer not to say,Brazil,Brazil_City_18,Standard,13.99,2021-10-01,True,2025-06-20,Web Browser,1,Credit Card,629.55,Social Media,Spanish
USR00000044,user44@example.com,48,Male,Germany,Germany_City_15,Basic,8.99,2021-11-23,True,2025-06-05,Smart TV,2,Credit Card,386.57,Partner,English
USR00000045,user45@example.com,35,Male,France,France_City_3,Standard,13.99,2025-01-15,True,2025-06-09,Streaming Device,2,PayPal,69.95,Email,German
USR00000046,user46@example.com,18,Female,USA,USA_City_7,Premium,17.99,2024-05-19,True,2025-06-13,Smart TV,1,Credit Card,233.87,Organic,English
USR00000047,user47@example.com,18,Female,Canada,Canada_City_13,Standard,13.99,2021-02-20,True,2025-06-02,Tablet,2,Credit Card,741.47,Email,English
USR00000048,user48@example.com,18,Female,Mexico,Mexico_City_19,Standard,13.99,2021-12-25,True,2025-06-10,Gaming Console,3,PayPal,587.58,Social Media,Spanish
USR00000049,user49@example.com,25,Female,USA,USA_City_15,Standard,13.99,2020-09-26,True,2025-06-17,Streaming Device,3,PayPal,811.42,Social Media,German
USR00000050,user50@example.com,45,Female,France,France_City_19,Premium Plus,22.99,2023-12-26,True,2025-06-03,Mobile,4,Credit Card,413.82,Partner,Portuguese
USR00000051,user51@example.com,56,Male,UK,UK_City_7,Basic,8.99,2022-11-23,True,2025-06-11,Smart TV,2,Credit Card,278.69,Organic,English
USR00000052,user52@example.com,47,Female,France,France_City_16,Premium,17.99,2020-07-25,True,2025-07-02,Smart TV,2,Credit Card,1079.4,Organic,Spanish
USR00000053,user53@example.com,31,Male,USA,USA_City_17,Basic,8.99,2023-11-07,True,2025-06-10,Tablet,2,Credit Card,179.8,TV Ad,Spanish
USR00000054,user54@example.com,22,Male,USA,USA_City_18,Basic,8.99,2022-12-15,True,2025-06-24,Web Browser,2,Gift Card,278.69,Email,English
USR00000055,user55@example.com,34,Male,India,India_City_6,Premium,17.99,2021-03-28,True,2025-06-23,Web Browser,3,Credit Card,917.49,Email,English
USR00000056,user56@example.com,25,Male,India,India_City_1,Basic,8.99,2025-03-12,True,2025-06-10,Tablet,2,Credit Card,26.97,Social Media,Spanish
USR00000057,user57@example.com,36,Male,UK,UK_City_19,Premium Plus,22.99,2022-10-27,True,2025-06-30,Smart TV,1,Bank Transfer,735.68,Organic,English
USR00000058,user58@example.com,38,Male,Spain,Spain_City_15,Premium,17.99,2023-03-02,True,2025-06-07,Web Browser,4,Credit Card,503.72,Email,Spanish
USR00000059,user59@example.com,31,Male,Italy,Italy_City_6,Premium Plus,22.99,2024-12-10,True,2025-06-26,Smart TV,1,Credit Card,137.94,Organic,Spanish
USR00000060,user60@example.com,33,Male,Canada,Canada_City_8,Premium,17.99,2022-11-12,True,2025-06-25,Smart TV,4,Bank Transfer,575.68,Partner,French
USR00000061,user61@example.com,20,Male,India,India_City_10,Standard,13.99,2022-06-12,True,2025-06-28,Web Browser,1,Credit Card,517.63,Partner,Japanese
USR00000062,user62@example.com,18,Female,UK,UK_City_3,Standard,13.99,2022-11-15,True,2025-06-10,Smart TV,3,Credit Card,447.68,Partner,German
USR00000063,user63@example.com,32,Female,Spain,Spain_City_19,Standard,13.99,2021-09-20,True,2025-06-14,Smart TV,3,Credit Card,643.54,Partner,Spanish
USR00000064,user64@example.com,33,Male,Germany,Germany_City_14,Premium,17.99,2023-12-10,True,2025-06-14,Web Browser,1,Credit Card,341.81,Email,Portuguese
USR00000065,user65@example.com,26,Male,USA,USA_City_13,Standard,13.99,2023-04-03,True,2025-06-15,Smart TV,2,Bank Transfer,377.73,Partner,English
USR00000066,user66@example.com,51,Female,France,France_City_2,Premium,17.99,2022-11-28,True,2025-06-26,Tablet,4,Credit Card,557.69,Social Media,Japanese
USR00000067,user67@example.com,18,Female,Brazil,Brazil_City_3,Basic,8.99,2021-12-19,True,2025-06-25,Mobile,1,Credit Card,386.57,Partner,English
USR00000068,user68@example.com,42,Male,India,India_City_16,Premium Plus,22.99,2021-11-13,True,2025-06-17,Smart TV,3,Gift Card,1011.56,Organic,Spanish
USR00000069,user69@example.com,18,Male,Canada,Canada_City_17,Standard,13.99,2020-07-27,True,2025-06-30,Web Browser,2,Credit Card,839.4,Organic,German
USR00000070,user70@example.com,53,Male,Australia,Australia_City_18,Premium,17.99,2022-04-01,True,2025-06-17,Mobile,4,PayPal,701.61,Social Media,Japanese
USR00000071,user71@example.com,58,Female,UK,UK_City_13,Basic,8.99,2023-05-09,True,2025-06-08,Mobile,2,Credit Card,233.74,Email,Portuguese
USR00000072,user72@example.com,18,Female,Germany,Germany_City_15,Premium Plus,22.99,2022-09-21,True,2025-06-28,Tablet,1,Credit Card,758.67,TV Ad,English
USR00000073,user73@example.com,49,Female,UK,UK_City_18,Premium Plus,22.99,2025-01-29,True,2025-06-24,Tablet,1,Credit Card,114.95,Social Media,German
USR00000074,user74@example.com,54,Prefer not to say,USA,USA_City_3,Premium,17.99,2020-08-10,True,2025-06-13,Tablet,3,Credit Card,1061.41,Organic,French
USR00000075,user75@example.com,44,Male,Mexico,Mexico_City_17,Premium,17.99,2025-05-03,False,,Smart TV,3,Credit Card,251.86,Email,English
USR00000076,user76@example.com,25,Male,Brazil,Brazil_City_15,Basic,8.99,2022-01-30,True,2025-06-13,Mobile,3,PayPal,368.59,Social Media,French
USR00000077,user77@example.com,45,Female,India,India_City_14,Standard,13.99,2022-06-08,True,2025-06-18,Streaming Device,2,PayPal,517.63,Social Media,English
USR00000078,user78@example.com,27,Prefer not to say,UK,UK_City_10,Premium Plus,22.99,2020-09-18,True,2025-06-25,Mobile,3,Credit Card,1333.42,Partner,English
USR00000079,user79@example.com,58,Female,Germany,Germany_City_8,Premium,17.99,2025-03-23,True,2025-06-09,Gaming Console,3,PayPal,53.97,Social Media,French
USR00000080,user80@example.com,36,Female,Italy,Italy_City_2,Premium,17.99,2021-09-12,True,2025-06-08,Web Browser,1,Credit Card,827.54,Social Media,Spanish
USR00000081,user81@example.com,34,Female,USA,USA_City_9,Standard,13.99,2021-04-23,True,2025-06-26,Mobile,2,PayPal,713.49,Organic,Portuguese
USR00000082,user82@example.com,29,Male,UK,UK_City_8,Standard,13.99,2020-12-23,True,2025-06-05,Smart TV,1,Bank Transfer,769.45,Email,Japanese
USR00000083,user83@example.com,56,Female,France,France_City_9,Standard,13.99,2021-01-24,True,2025-06-24,Mobile,3,Credit Card,755.46,Partner,Japanese
USR00000084,user84@example.com,30,Male,India,India_City_3,Basic,8.99,2024-03-10,True,2025-06-13,Tablet,3,PayPal,134.85,Social Media,German
USR00000085,user85@example.com,31,Male,USA,USA_City_15,Basic,8.99,2025-04-16,True,2025-06-17,Smart TV,3,Credit Card,17.98,TV Ad,French
USR00000086,user86@example.com,30,Female,India,India_City_9,Premium,17.99,2022-03-17,True,2025-06-28,Tablet,4,Credit Card,719.6,Social Media,Spanish
USR00000087,user87@example.com,57,Male,India,India_City_4,Basic,8.99,2021-08-27,True,2025-06-04,Mobile,2,Bank Transfer,413.54,Partner,English
USR00000088,user88@example.com,27,Female,USA,USA_City_7,Standard,13.99,2021-11-30,True,2025-07-02,Mobile,1,Credit Card,601.57,Partner,English
USR00000089,user89@example.com,40,Prefer not to say,USA,USA_City_18,Standard,13.99,2024-09-02,True,2025-06-13,Gaming Console,1,Credit Card,139.9,Organic,French
USR00000090,user90@example.com,58,Male,USA,USA_City_5,Basic,8.99,2025-06-01,True,2025-06-07,Mobile,1,PayPal,8.99,Social Media,German
USR00000091,user91@example.com,18,Female,India,India_City_15,Standard,13.99,2024-11-20,True,2025-06-25,Smart TV,3,PayPal,97.93,Organic,Japanese
USR00000092,user92@example.com,38,Male,Brazil,Brazil_City_5,Premium Plus,22.99,2023-02-09,True,2025-06-17,Mobile,1,Credit Card,666.71,Organic,French
USR00000093,user93@example.com,24,Female,Spain,Spain_City_18,Premium Plus,22.99,2022-07-11,True,2025-06-16,Smart TV,1,PayPal,827.64,Organic,Spanish
USR00000094,user94@example.com,31,Male,UK,UK_City_9,Standard,13.99,2023-08-07,True,2025-06-20,Smart TV,2,Credit Card,321.77,Organic,Japanese
USR00000095,user95@example.com,55,Female,Japan,Japan_City_18,Basic,8.99,2024-12-16,True,2025-06-21,Tablet,3,Credit Card,53.94,Organic,English
USR00000096,user96@example.com,44,Male,Brazil,Brazil_City_4,Premium,17.99,2021-04-17,True,2025-06-03,Streaming Device,5,Credit Card,917.49,Organic,French
USR00000097,user97@example.com,35,Other,Spain,Spain_City_20,Premium Plus,22.99,2023-06-10,True,2025-06-24,Web Browser,5,PayPal,574.75,Email,English
USR00000098,user98@example.com,40,Female,USA,USA_City_12,Premium Plus,22.99,2020-11-06,True,2025-07-02,Web Browser,3,Credit Card,1287.44,Partner,Spanish
USR00000099,user99@example.com,29,Male,USA,USA_City_10,Premium,17.99,2025-04-30,True,2025-06-16,Mobile,3,PayPal,35.98,Partner,Spanish
USR00000100,user100@example.com,38,Male,Spain,Spain_City_14,Basic,8.99,2025-03-16,True,2025-06-08,Tablet,2,Credit Card,26.97,Social Media,English
USR00000101,user101@example.com,35,Male,Germany,Germany_City_20,Premium,17.99,2023-11-29,True,2025-06-14,Tablet,1,Credit Card,341.81,Organic,Japanese
USR00000102,user102@example.com,29,Male,USA,USA_City_13,Premium,17.99,2021-03-19,True,2025-06-22,Mobile,4,Credit Card,935.48,Organic,Spanish
USR00000103,user103@example.com,29,Male,USA,USA_City_13,Standard,13.99,2021-05-04,False,,Gaming Console,2,PayPal,265.81,Social Media,English
USR00000104,user104@example.com,25,Male,Spain,Spain_City_4,Basic,8.99,2023-09-05,True,2025-06-02,Web Browser,2,Credit Card,197.78,Email,Spanish
USR00000105,user105@example.com,26,Male,France,France_City_12,Standard,13.99,2023-08-19,True,2025-06-30,Smart TV,3,Credit Card,307.78,TV Ad,French
USR00000106,user106@example.com,41,Male,USA,USA_City_16,Basic,8.99,2024-12-03,False,,Tablet,3,Credit Card,26.97,Email,Spanish
USR00000107,user107@example.com,24,Male,Canada,Canada_City_10,Standard,13.99,2021-12-30,True,2025-06-12,Mobile,2,PayPal,587.58,Email,English
USR00000108,user108@example.com,18,Female,UK,UK_City_3,Basic,8.99,2022-11-29,True,2025-07-01,Smart TV,3,PayPal,278.69,Social Media,Spanish
USR00000109,user109@example.com,18,Female,Italy,Italy_City_2,Premium,17.99,2022-12-23,True,2025-06-14,Mobile,4,Credit Card,539.7,Partner,Portuguese
USR00000110,user110@example.com,27,Female,USA,USA_City_20,Premium Plus,22.99,2025-01-10,True,2025-06-27,Web Browser,4,Credit Card,114.95,Social Media,English
USR00000111,user111@example.com,25,Male,USA,USA_City_20,Premium,17.99,2021-01-27,True,2025-06-22,Smart TV,4,Bank Transfer,953.47,Social Media,Spanish
USR00000112,user112@example.com,40,Female,Brazil,Brazil_City_3,Basic,8.99,2023-07-16,True,2025-06-12,Mobile,3,Credit Card,206.77,Social Media,German
USR00000113,user113@example.com,41,Female,France,France_City_1,Premium Plus,22.99,2021-05-10,True,2025-06-03,Tablet,4,Credit Card,1149.5,Organic,English
USR00000114,user114@example.com,18,Female,USA,USA_City_18,Premium,17.99,2022-10-10,True,2025-06-28,Smart TV,1,PayPal,593.67,Partner,English
USR00000115,user115@example.com,24,Female,Japan,Japan_City_2,Basic,8.99,2023-05-22,True,2025-06-27,Web Browser,1,Credit Card,224.75,Email,English
USR00000116,user116@example.com,52,Other,Germany,Germany_City_16,Standard,13.99,2023-11-26,True,2025-06-07,Mobile,2,Bank Transfer,265.81,Organic,French
USR00000117,user117@example.com,23,Female,UK,UK_City_5,Premium,17.99,2021-02-19,True,2025-06-16,Smart TV,2,Bank Transfer,953.47,Organic,Spanish
USR00000118,user118@example.com,29,Male,Australia,Australia_City_17,Standard,13.99,2024-12-03,True,2025-06-16,Smart TV,1,Credit Card,97.93,Social Media,Japanese
USR00000119,user119@example.com,37,Male,Germany,Germany_City_1,Standard,13.99,2025-05-08,True,2025-06-20,Smart TV,1,Credit Card,13.99,Organic,German
USR00000120,user120@example.com,47,Female,India,India_City_16,Standard,13.99,2024-09-05,True,2025-06-23,Mobile,1,Credit Card,139.9,Organic,English
USR00000121,user121@example.com,34,Male,USA,USA_City_8,Premium,17.99,2021-06-03,True,2025-06-19,Smart TV,3,Credit Card,881.51,Partner,Spanish
USR00000122,user122@example.com,57,Male,Italy,Italy_City_14,Basic,8.99,2022-09-12,True,2025-07-02,Tablet,3,Credit Card,305.66,Social Media,Spanish
USR00000123,user123@example.com,41,Female,France,France_City_13,Premium,17.99,2023-06-24,True,2025-06-16,Web Browser,5,Bank Transfer,431.76,Organic,English
USR00000124,user124@example.com,51,Female,Mexico,Mexico_City_19,Standard,13.99,2021-04-23,False,,Mobile,3,PayPal,307.78,Social Media,English
USR00000125,user125@example.com,18,Male,Germany,Germany_City_15,Basic,8.99,2021-02-17,True,2025-06-10,Smart TV,1,Credit Card,476.47,Organic,German
USR00000126,user126@example.com,28,Male,UK,UK_City_7,Premium Plus,22.99,2023-09-24,True,2025-06-16,Web Browser,4,Credit Card,482.79,Partner,English
USR00000127,user127@example.com,29,Other,Germany,Germany_City_16,Premium,17.99,2023-01-19,True,2025-06-09,Streaming Device,3,PayPal,521.71,Social Media,German
USR00000128,user128@example.com,27,Female,Germany,Germany_City_11,Standard,13.99,2025-01-13,True,2025-06-30,Streaming Device,1,Credit Card,69.95,Social Media,English
USR00000129,user129@example.com,18,Prefer not to say,Brazil,Brazil_City_9,Basic,8.99,2023-01-04,True,2025-07-01,Gaming Console,3,PayPal,269.7,Partner,English
USR00000130,user130@example.com,41,Male,Mexico,Mexico_City_20,Premium,17.99,2023-03-23,True,2025-06-07,Smart TV,1,PayPal,485.73,Social Media,English
USR00000131,user131@example.com,36,Male,USA,USA_City_3,Standard,13.99,2022-04-27,False,,Mobile,2,Credit Card,167.88,Social Media,English
USR00000132,user132@example.com,52,Female,Brazil,Brazil_City_4,Premium,17.99,2024-02-06,True,2025-07-02,Mobile,4,Credit Card,305.83,Organic,Spanish
USR00000133,user133@example.com,44,Prefer not to say,Australia,Australia_City_11,Premium Plus,22.99,2022-09-30,True,2025-06-28,Mobile,4,PayPal,758.67,Email,Spanish
USR00000134,user134@example.com,34,Female,Brazil,Brazil_City_17,Standard,13.99,2023-10-26,True,2025-06-10,Web Browser,1,Credit Card,279.8,TV Ad,German
USR00000135,user135@example.com,36,Male,India,India_City_13,Standard,13.99,2022-04-16,True,2025-06-07,Smart TV,1,Gift Card,545.61,Email,Spanish
USR00000136,user136@example.com,48,Male,India,India_City_17,Premium Plus,22.99,2020-11-18,True,2025-06-28,Tablet,4,Credit Card,1287.44,Partner,German
USR00000137,user137@example.com,30,Male,USA,USA_City_6,Premium Plus,22.99,2023-01-27,True,2025-06-05,Smart TV,2,Credit Card,666.71,Email,English
USR00000138,user138@example.com,29,Male,USA,USA_City_10,Premium Plus,22.99,2023-11-28,True,2025-06-24,Streaming Device,3,PayPal,436.81,Organic,French
USR00000139,user139@example.com,21,Female,UK,UK_City_1,Basic,8.99,2021-12-31,True,2025-06-13,Gaming Console,1,Credit Card,377.58,TV Ad,German
USR00000140,user140@example.com,26,Female,Spain,Spain_City_10,Standard,13.99,2024-04-26,True,2025-06-19,Smart TV,3,Credit Card,195.86,Partner,French
USR00000141,user141@example.com,33,Female,USA,USA_City_11,Basic,8.99,2023-01-13,True,2025-06-18,Tablet,2,PayPal,269.7,Partner,Japanese
USR00000142,user142@example.com,39,Male,Canada,Canada_City_5,Basic,8.99,2023-06-04,True,2025-06-29,Mobile,2,Credit Card,224.75,Organic,English
USR00000143,user143@example.com,28,Female,Spain,Spain_City_17,Premium Plus,22.99,2024-08-08,True,2025-06-03,Mobile,2,Credit Card,229.9,Partner,Spanish
